{'--activation': 'tanh',
 '--dropout': '0.70',
 '--epoch': '50',
 '--hidden': '100',
 '--lr': '0.1',
 '--mem_dim': '100',
 '--model': 'filter',
 '--optim': 'adagrad',
 '--reg': '3e-3',
 '--truncate_grad': '50',
 '<data>': 'data/senna0'}
{"dev_acc": 0.59913645477607935, "dev_loss": 0.66101722259606632, "epoch": 0, "train_acc": 0.72892754927221992, "train_loss": 0.72727515765383277}
{"dev_acc": 0.5730195375089876, "dev_loss": 0.68324803028787884, "epoch": 1, "train_acc": 0.75812872181735358, "train_loss": 0.70690101083320911}
{"dev_acc": 0.56386099310489124, "dev_loss": 0.68771407008171082, "epoch": 2, "train_acc": 0.78915406807487587, "train_loss": 0.65176352481298805}
{"dev_acc": 0.59530251592697614, "dev_loss": 0.67237675509282524, "epoch": 3, "train_acc": 0.80435617146254856, "train_loss": 0.60718806484077548}
{"dev_acc": 0.63124856608739954, "dev_loss": 0.65276217327586239, "epoch": 4, "train_acc": 0.81469991761470839, "train_loss": 0.53516313226162637}
{"dev_acc": 0.65274300960158793, "dev_loss": 0.65318910538085873, "epoch": 5, "train_acc": 0.83691170147811655, "train_loss": 0.48272514399848404}
{"dev_acc": 0.61303566685788646, "dev_loss": 0.68589825396026882, "epoch": 6, "train_acc": 0.84612177004462852, "train_loss": 0.43500197115295297}
{"dev_acc": 0.61794192655306523, "dev_loss": 0.68270102595644333, "epoch": 7, "train_acc": 0.86929818000439874, "train_loss": 0.40257479571088961}
{"dev_acc": 0.59525074838979353, "dev_loss": 0.69773434608110363, "epoch": 8, "train_acc": 0.87909619933549699, "train_loss": 0.35419607801433606}
{"dev_acc": 0.59260717229488358, "dev_loss": 0.73035682924091816, "epoch": 9, "train_acc": 0.8872287692985682, "train_loss": 0.32519475446094442}
{"dev_acc": 0.64329178946697618, "dev_loss": 0.69350763170846874, "epoch": 10, "train_acc": 0.88618218387480685, "train_loss": 0.31334232623229108}
{"dev_acc": 0.64736533596237844, "dev_loss": 0.70778015495410984, "epoch": 11, "train_acc": 0.8966968435319691, "train_loss": 0.30170413866474094}
{"dev_acc": 0.67009938182576256, "dev_loss": 0.70591164885887081, "epoch": 12, "train_acc": 0.900354094627146, "train_loss": 0.27552946153851343}
{"dev_acc": 0.62703984181816252, "dev_loss": 0.74172822412635597, "epoch": 13, "train_acc": 0.90734135305604324, "train_loss": 0.26869355901321279}
{"dev_acc": 0.61073734158487558, "dev_loss": 0.78235672121601441, "epoch": 14, "train_acc": 0.91036615504538221, "train_loss": 0.25230556544022564}
{"dev_acc": 0.61923533433573463, "dev_loss": 0.74870292815778938, "epoch": 15, "train_acc": 0.91189112736728573, "train_loss": 0.24068969228493545}
{"dev_acc": 0.6381691661053388, "dev_loss": 0.7905619772417205, "epoch": 16, "train_acc": 0.91693061451856295, "train_loss": 0.2322700247433791}
{"dev_acc": 0.61853338252738099, "dev_loss": 0.79017247711973526, "epoch": 17, "train_acc": 0.91944937066949073, "train_loss": 0.22608264100065903}
{"dev_acc": 0.5881420974121907, "dev_loss": 0.80783014292163513, "epoch": 18, "train_acc": 0.92341278943523752, "train_loss": 0.21153518931845885}
{"dev_acc": 0.63888316923020283, "dev_loss": 0.76134771720639294, "epoch": 19, "train_acc": 0.92613472856442813, "train_loss": 0.20668772714878608}
{"dev_acc": 0.63079389108925654, "dev_loss": 0.7505693055157151, "epoch": 20, "train_acc": 0.92800210133056604, "train_loss": 0.20506400724466231}
